0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37
0.0625,0.006817,0.012605,0.016082,0.0,0.99105,0.979792,0.0,0.203576,0.000186,0.051541,0.094595,0.06,0.295636,0.267185,0.023928,0.0,0.0,0.182892,0.236588,0.185694,0.1936,0.308609,0.107143,0.190698,0.233333,0.0,0.186147,0.0,0.25,0.194467,0.045455,0.0,0.011111,0.161616,0.161616,0.0,0.0
0.0625,0.017042,0.018207,0.017544,0.0,0.99105,0.979792,0.0,0.345254,0.000932,0.05524,0.121622,0.1,0.555611,0.326848,0.025796,0.0,0.0,0.244624,0.198934,0.213184,0.1968,0.446386,0.142857,0.176744,0.266667,0.0,0.213853,0.0,0.25,0.197206,0.090909,0.0,0.016667,0.181818,0.181818,0.0,0.0
0.03125,0.005453,0.014006,0.01462,0.0,0.99105,0.979792,0.0,0.263411,0.000186,0.031421,0.108108,0.08,0.448502,0.280156,0.014858,0.0,0.0,0.044276,0.119627,0.045161,0.046133,0.149814,0.035714,0.037209,0.166667,0.0,0.045022,0.0,0.25,0.046289,0.045455,0.0,0.011111,0.040404,0.050505,0.0,0.0
0.03125,0.006817,0.012605,0.013158,0.0,0.99105,0.979792,0.0,0.343191,0.0,0.022907,0.121622,0.09,0.500994,0.346304,0.011371,0.0,0.0,0.06832,0.085305,0.057784,0.049867,0.081505,0.107143,0.037209,0.2,0.0,0.058009,0.0,0.25,0.050123,0.090909,0.0,0.005556,0.050505,0.050505,0.0,0.0
0.041667,0.002727,0.009804,0.011696,0.0,0.99105,0.979792,0.0,0.288171,0.0,0.039352,0.094595,0.07,0.445404,0.309339,0.018493,0.0,0.0,0.056416,0.10963,0.045161,0.039467,0.05285,0.178571,0.023256,0.2,0.0,0.045022,0.0,0.25,0.039167,0.090909,0.0,0.005556,0.050505,0.050505,0.0,0.0
0.041667,0.006135,0.008403,0.011696,0.0,0.99105,0.979792,0.0,0.212517,0.000559,0.028862,0.121622,0.07,0.242002,0.303502,0.013935,0.0,0.0,0.074389,0.096968,0.067602,0.061067,0.084744,0.142857,0.051163,0.233333,0.0,0.067532,0.0,0.25,0.060805,0.090909,0.0,0.011111,0.060606,0.060606,0.0,0.0
0.020833,0.013633,0.011204,0.013158,0.0,0.99105,0.979792,0.0,0.26685,0.0,0.028,0.094595,0.07,0.486298,0.270428,0.013343,0.0,0.0,0.038253,0.075308,0.038429,0.037867,0.094703,0.071429,0.034884,0.166667,0.0,0.038672,0.0,0.25,0.038072,0.045455,0.0,0.022222,0.030303,0.030303,0.0,0.0
0.03125,0.00818,0.009804,0.011696,0.0,0.99105,0.979503,0.0,0.195323,0.0,0.033195,0.081081,0.04,0.238608,0.280804,0.015792,0.0,0.0,0.022444,0.049983,0.017111,0.014667,0.012403,0.071429,0.006977,0.166667,0.0,0.016739,0.0,0.25,0.014517,0.045455,0.0,0.011111,0.010101,0.010101,0.0,0.0
0.020833,0.006135,0.009804,0.011696,0.0,0.99105,0.979503,0.0,0.273728,0.0,0.030559,0.094595,0.06,0.421257,0.302853,0.014607,0.0,0.0,0.009693,0.014995,0.013745,0.0136,0.018024,0.071429,0.013953,0.166667,0.0,0.013564,0.0,0.25,0.013695,0.090909,0.0,0.016667,0.010101,0.010101,0.0,0.0
0.020833,0.06544,0.053221,0.027778,0.0,0.99105,0.979503,0.0,0.247593,0.0,0.028988,0.121622,0.08,0.42317,0.271725,0.013912,0.0,0.0,0.022867,0.1003,0.023843,0.0264,0.028411,0.071429,0.02093,0.166667,0.0,0.023954,0.0,0.25,0.026568,0.045455,0.0,0.011111,0.010101,0.010101,0.0,0.0
