0,1,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37
0.052632,0.001213,0.0,0.505755,0.296262,0.0,0.004303,0.0,0.011894,0.085106,0.0,0.098736,0.015524,0.014628,0.0,0.0,0.001469,0.006389,0.004063,0.011385,0.106108,0.468446,0.08502,0.469002,0.0,0.004021,0.0,0.571429,0.011314,0.067669,0.0,0.011494,0.094747,0.093897,0.0,0.0
0.031579,0.001096,0.0,0.472662,0.3,0.0,0.009466,2.3e-05,0.013493,0.148936,0.0,0.061178,0.047331,0.013437,0.0,0.0,0.002549,0.010342,0.005723,0.015084,0.115519,0.486795,0.105263,0.487073,0.0,0.005624,0.0,0.571429,0.014831,0.067669,0.0,0.01341,0.13227,0.131455,0.0,0.0
0.052632,0.001174,0.0,0.473381,0.299065,0.0,0.001721,0.0,0.011663,0.06383,0.0,0.086044,0.007573,0.011584,0.0,0.0,0.002552,0.010869,0.005779,0.015447,0.132189,0.489019,0.105263,0.489575,0.0,0.00568,0.0,0.571429,0.015194,0.052632,0.0,0.009579,0.141651,0.140845,0.0,0.0
0.031579,0.001057,0.0,0.464748,0.284112,0.0,0.003442,0.0,0.012263,0.042553,0.0,0.07316,0.013631,0.012117,0.0,0.0,0.002519,0.00865,0.005582,0.014721,0.125238,0.475118,0.101215,0.475674,0.0,0.005596,0.0,0.571429,0.014759,0.082707,0.0,0.01341,0.111632,0.111737,0.0,0.0
0.031579,0.001017,0.0,0.466906,0.285047,0.0,0.005164,0.0,0.009809,0.12766,0.0,0.082802,0.020825,0.009735,0.0,0.0,0.001335,0.006699,0.004035,0.011857,0.107953,0.463998,0.08502,0.464832,0.0,0.004035,0.0,0.571429,0.011858,0.075188,0.0,0.009579,0.098499,0.098592,0.0,0.0
0.042105,0.000704,0.0,0.468345,0.285981,0.0,0.001721,0.0,0.01184,0.042553,0.0,0.094236,0.006437,0.011778,0.0,0.0,0.002465,0.008092,0.005371,0.013851,0.112136,0.481512,0.097166,0.481234,0.0,0.005385,0.0,0.642857,0.013852,0.082707,0.0,0.011494,0.106942,0.107042,0.0,0.0
0.031579,0.000352,0.0,0.470504,0.286916,0.0,0.001721,0.0,0.010584,0.042553,0.0,0.085975,0.006437,0.010572,0.0,0.0,0.001724,0.007081,0.004527,0.012437,0.128314,0.482068,0.101215,0.482346,0.0,0.004527,0.0,0.642857,0.012438,0.067669,0.0,0.01341,0.105066,0.105164,0.0,0.0
0.042105,0.001057,0.0,0.482734,0.299065,0.0,0.003442,0.0,0.018933,0.085106,0.0,0.1108,0.009466,0.018614,0.0,0.0,0.002055,0.010126,0.004654,0.011748,0.064772,0.485961,0.060729,0.486517,0.0,0.004654,0.0,0.571429,0.011749,0.06015,0.005952,0.017241,0.128518,0.1277,0.0,0.0
0.052632,0.001448,0.0,0.485612,0.300935,0.0,0.001721,0.0,0.012564,0.06383,0.0,0.097875,0.006437,0.012536,0.0,0.0,0.002729,0.010167,0.005512,0.013017,0.072031,0.476786,0.072874,0.47762,0.0,0.005526,0.0,0.642857,0.013018,0.06015,0.005952,0.01341,0.121013,0.121127,0.0,0.0
